molecule_chembl_id,canonical_smiles,standard_value,0,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL192836,CCCCNC(=O)[C@H](C)NC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,10.0,active,641.9200000000001,2.5042000000000044,6.0,7.0,10.0,8.0
CHEMBL191344,CCCCNC(=O)[C@@H](NC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,10.0,active,669.974,3.140300000000005,6.0,7.0,10.0,8.0
CHEMBL190058,CCCCNC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,60.0,active,570.8410000000002,2.999500000000002,5.0,6.0,60.0,7.221848749616356
CHEMBL191129,CCCCNC(=O)[C@@H](NC(=O)[C@@H]1CC(=O)C[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,56.0,active,683.957,2.3193000000000046,6.0,8.0,56.0,7.251811972993799
CHEMBL191100,CCCCNC(=O)[C@@H](NC(=O)[C@@H]1C(=O)N(CC)C[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,130.0,active,712.999,1.8185000000000064,6.0,8.0,130.0,6.886056647693163
CHEMBL436104,CCCCNC(=O)[C@@H](NC(=O)[C@H]1[C@H]([C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)CC(=O)N1C)C(C)C,70.0,active,698.972,1.5709000000000075,6.0,8.0,70.0,7.154901959985743
CHEMBL364664,CCCCNC(=O)[C@@H](NC(=O)[C@@H]1OCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,28.0,active,671.946,2.129100000000005,6.0,8.0,28.0,7.552841968657781
CHEMBL190010,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O,90.0,active,586.7960000000004,1.672500000000003,6.0,7.0,90.0,7.045757490560675
CHEMBL191123,C=C1C[C@@H]([C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)[C@H](C(=O)N[C@@H](C)C(=O)O)C1,430.0,active,598.8070000000002,1.8386000000000031,6.0,7.0,430.0,6.366531544420414
CHEMBL437496,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@@H]2CCCN[C@@H]2C(=O)N[C@@H](C)C(=O)N1,10000.0,inactive,496.71800000000025,1.730700000000002,5.0,6.0,10000.0,5.0
